year,state,state_po,county_name,office,candidate,party,candidatevotes,totalvotes,mode
2000,ALABAMA,AL,CULLMAN,US PRESIDENT,GEORGE W. BUSH,REPUBLICAN,19157,29525,TOTAL
2000,ALABAMA,AL,CULLMAN,US PRESIDENT,RALPH NADER,GREEN,282,29525,TOTAL
2000,ALABAMA,AL,CULLMAN,US PRESIDENT,OTHER,OTHER,328,29525,TOTAL
2000,ALABAMA,AL,DALE,US PRESIDENT,AL GORE,DEMOCRAT,4906,15806,TOTAL
2000,ALABAMA,AL,DALE,US PRESIDENT,GEORGE W. BUSH,REPUBLICAN,10593,15806,TOTAL
2000,ALABAMA,AL,DALE,US PRESIDENT,RALPH NADER,GREEN,188,15806,TOTAL
2000,ALABAMA,AL,DALE,US PRESIDENT,OTHER,OTHER,119,15806,TOTAL
2000,ALABAMA,AL,DALLAS,US PRESIDENT,AL GORE,DEMOCRAT,10967,18464,TOTAL
2000,ALABAMA,AL,DALLAS,US PRESIDENT,GEORGE W. BUSH,REPUBLICAN,7360,18464,TOTAL
2000,ALABAMA,AL,DALLAS,US PRESIDENT,RALPH NADER,GREEN,63,18464,TOTAL
2000,ALABAMA,AL,DALLAS,US PRESIDENT,OTHER,OTHER,74,18464,TOTAL
2000,ALABAMA,AL,DEKALB,US PRESIDENT,AL GORE,DEMOCRAT,7056,20285,TOTAL
2000,ALABAMA,AL,DEKALB,US PRESIDENT,GEORGE W. BUSH,REPUBLICAN,12827,20285,TOTAL
2000,ALABAMA,AL,DEKALB,US PRESIDENT,RALPH NADER,GREEN,175,20285,TOTAL
2000,ALABAMA,AL,DEKALB,US PRESIDENT,OTHER,OTHER,227,20285,TOTAL
2000,ALABAMA,AL,ELMORE,US PRESIDENT,AL GORE,DEMOCRAT,6652,23804,TOTAL
2000,ALABAMA,AL,ELMORE,US PRESIDENT,GEORGE W. BUSH,REPUBLICAN,16777,23804,TOTAL
2000,ALABAMA,AL,ELMORE,US PRESIDENT,RALPH NADER,GREEN,212,23804,TOTAL
